wavelength (nm);29/5/2023;29/5/2023;29/5/2023;29/5/2023
415.5;2.13500;2.01100;3.26200;3.04300
416;2.07900;1.96800;3.23800;3.05100
416.5;2.04300;1.95200;3.17800;3.02500
417;2.03000;1.95100;3.12900;2.99200
417.5;2.02600;1.92000;3.07900;2.96400
418;1.98200;1.87500;3.06900;2.97000
418.5;1.94000;1.83600;3.04000;2.95000
419;1.86300;1.75300;3.01700;2.94200
419.5;1.85900;1.70700;2.98300;2.91400
420;1.90400;1.72000;2.95500;2.87400
420.5;1.90800;1.70600;2.96500;2.87500
421;1.89200;1.67300;2.98800;2.90000
421.5;1.86400;1.68500;2.97200;2.89800
422;1.85200;1.65800;2.97300;2.88100
422.5;1.82900;1.64000;2.95000;2.86600
423;1.78300;1.65000;2.90100;2.82600
423.5;1.72500;1.63500;2.84800;2.80100
424;1.68200;1.61800;2.82000;2.79900
424.5;1.63000;1.58800;2.79700;2.78600
425;1.62600;1.60600;2.77900;2.77600
425.5;1.67700;1.66300;2.73800;2.73700
426;1.71900;1.66400;2.71600;2.71300
426.5;1.68000;1.60000;2.70900;2.70500
427;1.65000;1.52900;2.68700;2.67400
427.5;1.66400;1.52600;2.63200;2.63600
428;1.65100;1.53900;2.62200;2.62000
428.5;1.58500;1.50400;2.61300;2.59400
429;1.51200;1.48700;2.59100;2.56800
429.5;1.45200;1.45200;2.56300;2.50700
430;1.39600;1.44900;2.55600;2.50600
430.5;1.39400;1.46000;2.55700;2.44300
431;1.36000;1.42600;2.54500;2.42700
431.5;1.30600;1.38800;2.54400;2.41800
432;1.31500;1.36700;2.52900;2.42000
432.5;1.33100;1.37900;2.49200;2.43100
433;1.31900;1.35800;2.46600;2.41400
433.5;1.30100;1.32500;2.38400;2.37300
434;1.30600;1.33600;2.28200;2.31200
434.5;1.37100;1.38600;2.17100;2.22500
435;1.38600;1.40800;2.13600;2.19500
435.5;1.41600;1.42400;2.09600;2.12400
436;1.44700;1.43800;2.05900;2.09600
436.5;1.42500;1.43100;2.05200;2.10100
437;1.42500;1.39300;2.09300;2.16400
437.5;1.35400;1.35000;2.14000;2.20600
438;1.27400;1.27600;2.15600;2.24000
438.5;1.22800;1.22800;2.13200;2.25000
439;1.18100;1.18200;2.09800;2.23900
439.5;1.20600;1.19500;2.03100;2.21700
440;1.23600;1.18800;2.00400;2.21400
440.5;1.22400;1.15800;1.98900;2.18600
441;1.21800;1.14000;1.99000;2.20200
441.5;1.16800;1.12200;1.96600;2.18600
442;1.14000;1.08100;1.99300;2.20000
442.5;1.10100;1.04500;2.07000;2.20600
443;1.10500;1.05100;2.11000;2.20600
443.5;1.11000;1.08000;2.08700;2.15200
444;1.08900;1.09900;1.99200;2.07300
444.5;1.09600;1.12900;1.88400;1.99800
445;1.11000;1.17200;1.78400;1.93400
445.5;1.12000;1.22800;1.71500;1.85600
446;1.12000;1.22400;1.67500;1.84500
446.5;1.13400;1.22600;1.62500;1.79100
447;1.17500;1.20300;1.60400;1.77900
447.5;1.21600;1.16100;1.62900;1.78200
448;1.19200;1.10500;1.69800;1.84200
448.5;1.15900;1.08300;1.74100;1.86900
449;1.12300;1.07300;1.74300;1.88700
449.5;1.07700;1.04900;1.73200;1.89200
450;1.04100;1.04900;1.68500;1.86900
450.5;0.99800;1.05000;1.70800;1.87500
451;0.95000;0.98600;1.72200;1.89700
451.5;0.92800;0.95000;1.69200;1.86800
452;0.91200;0.93700;1.62700;1.81000
452.5;0.89600;0.90200;1.54200;1.72400
453;0.84200;0.87900;1.53600;1.71500
453.5;0.84600;0.88700;1.50500;1.70100
454;0.86800;0.93600;1.47200;1.69300
454.5;0.84900;0.94100;1.46200;1.72400
455;0.79000;0.94500;1.45400;1.75000
455.5;0.73900;0.89600;1.47200;1.77400
456;0.65900;0.82300;1.45600;1.80200
456.5;0.58000;0.76800;1.44500;1.78900
457;0.56300;0.73900;1.41600;1.74000
457.5;0.56800;0.73000;1.34600;1.66300
458;0.60100;0.73500;1.35600;1.63000
458.5;0.67100;0.77100;1.34400;1.63000
459;0.75700;0.82400;1.32400;1.61700
459.5;0.80100;0.86000;1.33200;1.64700
460;0.81900;0.91200;1.28400;1.62900
460.5;0.86000;0.92900;1.23700;1.58400
461;0.81300;0.88400;1.22300;1.56600
461.5;0.76300;0.86100;1.21000;1.55900
462;0.73600;0.84400;1.18800;1.53600
462.5;0.72100;0.80000;1.16700;1.51300
463;0.70800;0.76800;1.20800;1.50000
463.5;0.71700;0.75200;1.27900;1.55500
464;0.71200;0.75100;1.33700;1.59100
464.5;0.68700;0.72700;1.36500;1.62900
465;0.68000;0.72500;1.35500;1.61700
465.5;0.72200;0.73700;1.34600;1.58700
466;0.70000;0.72700;1.33300;1.56900
466.5;0.68700;0.71900;1.32700;1.60600
467;0.73600;0.77400;1.28500;1.60600
467.5;0.82200;0.82000;1.20900;1.57100
468;0.93200;0.89200;1.15800;1.50800
468.5;0.97900;0.92100;1.16000;1.50500
469;0.95300;0.91000;1.16600;1.49000
469.5;0.89300;0.89300;1.14800;1.48700
470;0.88700;0.89800;1.12500;1.44900
470.5;0.84300;0.88100;1.07600;1.37500
471;0.80400;0.84000;1.08600;1.39400
471.5;0.79300;0.80600;1.10800;1.43400
472;0.78800;0.79500;1.13200;1.44900
472.5;0.80400;0.78700;1.12200;1.44300
473;0.81400;0.76200;1.13400;1.41500
473.5;0.80400;0.71000;1.15500;1.39700
474;0.73000;0.64900;1.15800;1.37700
474.5;0.66000;0.63100;1.14900;1.37400
475;0.64200;0.62600;1.13100;1.35500
475.5;0.56400;0.60400;1.09500;1.36100
476;0.51300;0.55800;1.16200;1.43400
476.5;0.47300;0.53400;1.23700;1.50400
477;0.46500;0.54100;1.26300;1.52100
477.5;0.44700;0.50200;1.28000;1.54000
478;0.46000;0.49200;1.30000;1.55500
478.5;0.54700;0.56200;1.27700;1.51900
479;0.58500;0.58300;1.21800;1.47800
479.5;0.60700;0.57900;1.20300;1.46500
480;0.61000;0.56800;1.18700;1.45800
480.5;0.59000;0.56400;1.16700;1.45700
481;0.54200;0.53800;1.25300;1.50600
481.5;0.51800;0.52600;1.28500;1.49700
482;0.55700;0.58300;1.22400;1.43300
482.5;0.57100;0.57100;1.16700;1.39300
483;0.58500;0.60700;1.10100;1.34300
483.5;0.62800;0.71000;0.98500;1.26200
484;0.62000;0.72800;0.89800;1.20500
484.5;0.60500;0.76500;0.84700;1.16500
485;0.59000;0.78900;0.79300;1.13400
485.5;0.62000;0.81200;0.74500;1.10700
